"region","abbr_state","county.name","Obama Pct","Romney Pct"
1001,"al","autauga",26.6,72.6
1003,"al","baldwin",21.6,77.4
1005,"al","barbour",51.3,48.3
1007,"al","bibb",26.2,73.1
1009,"al","blount",12.3,86.5
1011,"al","bullock",76.3,23.5
1013,"al","butler",46.1,53.6
1015,"al","calhoun",33.5,65.5
1017,"al","chambers",47.1,52.2
1019,"al","cherokee",21.8,76.8
1021,"al","chilton",19.5,79.8
1023,"al","choctaw",47.5,52.1
1025,"al","clarke",45.7,54
1027,"al","clay",26.7,72.3
1029,"al","cleburne",15.4,83.6
1031,"al","coffee",24.8,74.2
1033,"al","colbert",39.2,59.6
1035,"al","conecuh",50.6,49
1037,"al","coosa",41.7,57.8
1039,"al","covington",20.5,78.8
1041,"al","crenshaw",31.9,67.5
1043,"al","cullman",14.6,84.2
1045,"al","dale",28.5,70.6
1047,"al","dallas",69.7,30
1049,"al","dekalb",22,76.8
1051,"al","elmore",25.2,74
1053,"al","escambia",36.9,62.5
1055,"al","etowah",30.1,68.5
1057,"al","fayette",22.8,76.3
1059,"al","franklin",29.2,69.7
1061,"al","geneva",18,81
1063,"al","greene",84.7,15
1065,"al","hale",62.6,37.1
1067,"al","henry",35,64.4
1069,"al","houston",29.5,69.8
1071,"al","jackson",28.3,70.2
1073,"al","jefferson",52.6,46.6
1075,"al","lamar",23,76.2
1077,"al","lauderdale",33.9,64.8
1079,"al","lawrence",35.9,62.9
1081,"al","lee",39.3,59.2
1083,"al","limestone",27.7,71.4
1085,"al","lowndes",76.4,23.3
1087,"al","macon",87.1,12.7
1089,"al","madison",40,58.6
1091,"al","marengo",53.5,46.2
1093,"al","marion",18.6,80.1
1095,"al","marshall",19.3,79.4
1097,"al","mobile",45,54.3
1099,"al","monroe",45.9,53.7
1101,"al","montgomery",61.9,37.6
1103,"al","morgan",27.2,71.8
1105,"al","perry",74.8,24.8
1107,"al","pickens",46.3,53.3
1109,"al","pike",42.7,56.5
1111,"al","randolph",29.6,69.5
1113,"al","russell",55.6,43.9
1117,"al","shelby",21.6,77.3
1115,"al","st. clair",16.5,82.6
1119,"al","sumter",77.2,22.6
1121,"al","talladega",41.7,57.7
1123,"al","tallapoosa",33.5,65.9
1125,"al","tuscaloosa",40.8,58.2
1127,"al","walker",23,75.9
1129,"al","washington",33.9,65.6
1131,"al","wilcox",74.3,25.6
1133,"al","winston",13.2,85.6
5001,"ar","arkansas",37.8,60
5003,"ar","ashley",36.1,61.5
5005,"ar","baxter",26.7,70.8
NA,"ar","benton.",28.7,68.9
NA,"ar","benton.",28.7,24.6
NA,"ar","benton.",28.7,48.7
NA,"ar","benton.",28.7,64.7
NA,"ar","benton.",28.7,9.2
NA,"ar","benton.",28.7,39.1
NA,"ar","benton.",28.7,47.4
NA,"ar","benton.",28.7,50.9
NA,"ar","benton.",28.7,21.6
NA,"ar","benton.",28.7,52.2
NA,"ar","benton.",28.7,8.3
NA,"ar","benton.",28.7,17.6
NA,"ar","benton.",28.7,14.6
NA,"ar","benton.",28.7,20.3
NA,"ar","benton.",28.7,38.2
NA,"ar","benton.",28.7,20.9
NA,"ar","benton.",28.7,49.7
NA,"ar","benton.",28.7,14.1
NA,"ar","benton.",28.7,27.4
NA,"ar","benton.",28.7,41.4
NA,"ar","benton.",28.7,21.4
NA,"ar","benton.",28.7,66.1
NA,"ar","benton.",28.7,57.1
NA,"ar","benton.",28.7,57.2
NA,"ar","benton.",28.7,48.8
NA,"ar","benton.",28.7,46.5
NA,"ar","benton.",28.7,60.5
NA,"ar","benton.",28.7,64.9
NA,"ar","benton.",28.7,46.6
NA,"ar","benton.",28.7,32.7
NA,"ar","benton.",28.7,28.9
NA,"ar","benton.",28.7,55.3
NA,"ar","benton.",28.7,52.1
NA,"ar","benton.",28.7,60.6
NA,"ar","benton.",28.7,45.3
NA,"ar","benton.",28.7,56
NA,"ar","benton.",28.7,42.8
NA,"ar","benton.",28.7,43.4
NA,"ar","benton.",28.7,29.6
NA,"ar","benton.",28.7,45.7
NA,"ar","benton.",28.7,40.6
NA,"ar","benton.",28.7,51.7
NA,"ar","benton.",28.7,62.3
NA,"ar","benton.",28.7,39.1
NA,"ar","benton.",28.7,42.5
NA,"ar","benton.",28.7,50.2
NA,"ar","benton.",28.7,56.1
NA,"ar","benton.",28.7,49.7
NA,"ar","benton.",28.7,54.2
5009,"ar","boone",24.5,72.5
5011,"ar","bradley",39.8,58.3
5013,"ar","calhoun",30.4,67.1
5015,"ar","carroll",36.3,60.2
5017,"ar","chicot",60.7,38.3
5019,"ar","clark",45.3,51.7
5021,"ar","clay",34,63.1
5023,"ar","cleburne",22.5,74.6
5025,"ar","cleveland",25.9,70.8
5027,"ar","columbia",37.6,61.2
5029,"ar","conway",38.9,58.4
5031,"ar","craighead",33.2,64.2
5033,"ar","crawford",23.7,73.6
5035,"ar","crittenden",58.6,39.9
5037,"ar","cross",34.1,63.9
5039,"ar","dallas",43.4,54
5041,"ar","desha",55.5,42.6
5043,"ar","drew",39.6,58.6
5045,"ar","faulkner",32.8,64.5
5047,"ar","franklin",26.4,70.8
5049,"ar","fulton",32.1,65.2
5051,"ar","garland",33.9,63.8
5053,"ar","grant",22.6,74.5
5055,"ar","greene",29.1,65.9
5057,"ar","hempstead",35.6,61.9
5059,"ar","hot spring",34,63.1
5061,"ar","howard",33,64.8
5063,"ar","independence",26.5,70.4
5065,"ar","izard",29.4,67.2
5067,"ar","jackson",39.2,57.4
5069,"ar","jefferson",63.8,34.8
5071,"ar","johnson",34.5,62.6
5073,"ar","lafayette",40.1,58.5
5075,"ar","lawrence",32.3,63.8
5077,"ar","lee",61.5,37.4
5079,"ar","lincoln",38.2,59
5081,"ar","little river",30.7,67
5083,"ar","logan",27.4,69.3
5085,"ar","lonoke",22.5,75
5087,"ar","madison",32,64.9
5089,"ar","marion",28.8,67.9
5091,"ar","miller",29.5,69.3
5093,"ar","mississippi",48.3,49.4
5095,"ar","monroe",49,49.1
5097,"ar","montgomery",27,69.6
5099,"ar","nevada",38.8,59
5101,"ar","newton",27.1,68.5
5103,"ar","ouachita",44.9,53.5
5105,"ar","perry",30.1,65.5
5107,"ar","phillips",65.6,32.8
5109,"ar","pike",22.4,75.2
5111,"ar","poinsett",31.6,65.8
5113,"ar","polk",20.2,77.1
5115,"ar","pope",25.1,72.3
5117,"ar","prairie",28,68.6
5119,"ar","pulaski",54.7,43.3
5121,"ar","randolph",34.3,62.2
5125,"ar","saline",27.3,70
5127,"ar","scott",24.6,72.3
5129,"ar","searcy",22,73.1
5131,"ar","sebastian",30.2,67.3
5133,"ar","sevier",24.1,72.4
5135,"ar","sharp",28.7,67.6
5123,"ar","st. francis",58,41
5137,"ar","stone",25.3,70.5
5139,"ar","union",36,62.3
5141,"ar","van buren",28.4,67.9
5143,"ar","washington",40.1,56.3
5145,"ar","white",21.7,75.5
5147,"ar","woodruff",49.9,45.7
5149,"ar","yell",28.8,67.7
4001,"az","apache",66.4,31.9
4003,"az","cochise",37.4,60.7
4005,"az","coconino",56.3,41.4
4007,"az","gila",35.6,62.7
4009,"az","graham",30.4,68.1
4011,"az","greenlee",44.1,53.5
4012,"az","la paz",32.9,65.1
4013,"az","maricopa",43.2,55.1
4015,"az","mohave",27.9,70.3
4017,"az","navajo",45.4,53.3
4019,"az","pima",52.2,46.3
4021,"az","pinal",40.6,57.7
4023,"az","santa cruz",68.3,30.5
4025,"az","yavapai",33.7,64.5
4027,"az","yuma",43,55.8
6001,"ca","alameda",78.7,18.4
6003,"ca","alpine",60.1,36.5
