"region","abbr_state","county.name","Clinton Pct","Trump Pct"
NA,"ak","alaska.",37.7,52.9
NA,"ak","alaska.",37.7,37.9
NA,"ak","alaska.",37.7,21.4
NA,"ak","alaska.",37.7,57.7
NA,"ak","alaska.",37.7,10.9
NA,"ak","alaska.",37.7,73.4
NA,"ak","alaska.",37.7,40.8
NA,"ak","alaska.",37.7,32.2
NA,"ak","alaska.",37.7,20.7
NA,"ak","alaska.",37.7,22.6
NA,"ak","alaska.",37.7,37.8
NA,"ak","alaska.",37.7,45.4
NA,"ak","alaska.",37.7,10
NA,"ak","alaska.",37.7,22.1
NA,"ak","alaska.",37.7,32.1
NA,"ak","alaska.",37.7,17.6
NA,"ak","alaska.",37.7,37.4
NA,"ak","alaska.",37.7,15.5
NA,"ak","alaska.",37.7,8.3
NA,"ak","alaska.",37.7,57.7
NA,"ak","alaska.",37.7,46.4
NA,"ak","alaska.",37.7,44.9
NA,"ak","alaska.",37.7,79.8
NA,"ak","alaska.",37.7,65.3
NA,"ak","alaska.",37.7,32.6
NA,"ak","alaska.",37.7,77.7
NA,"ak","alaska.",37.7,51.3
NA,"ak","alaska.",37.7,72.5
NA,"ak","alaska.",37.7,34.6
NA,"ak","alaska.",37.7,37.3
NA,"ak","alaska.",37.7,67.1
NA,"ak","alaska.",37.7,59
NA,"ak","alaska.",37.7,47.6
NA,"ak","alaska.",37.7,46.3
NA,"ak","alaska.",37.7,52.9
NA,"ak","alaska.",37.7,55.2
NA,"ak","alaska.",37.7,65.4
NA,"ak","alaska.",37.7,29.8
NA,"ak","alaska.",37.7,21.7
NA,"ak","alaska.",37.7,39.4
NA,"ak","alaska.",37.7,53.7
NA,"ak","alaska.",37.7,54.7
NA,"ak","alaska.",37.7,65.1
NA,"ak","alaska.",37.7,48.8
NA,"ak","alaska.",37.7,57.9
NA,"ak","alaska.",37.7,42.2
NA,"ak","alaska.",37.7,25
NA,"ak","alaska.",37.7,44.4
NA,"ak","alaska.",37.7,37.6
NA,"ak","alaska.",37.7,67.3
NA,"ak","alaska.",37.7,37.8
NA,"ak","alaska.",37.7,54.6
NA,"ak","alaska.",37.7,37.2
NA,"ak","alaska.",37.7,45
NA,"ak","alaska.",37.7,54.8
1001,"al","autauga",24,73.4
1003,"al","baldwin",19.6,77.4
1005,"al","barbour",46.7,52.3
1007,"al","bibb",21.4,77
1009,"al","blount",8.5,89.9
1011,"al","bullock",75.1,24.2
1013,"al","butler",42.8,56.3
