"abbr_state","county","candidate","votes","percent_won","percent_complete","fips","Year"
"ak","aleutians east borough",NA,NA,NA,NA,2013,2012
"ak","aleutians west census area",NA,NA,NA,NA,2016,2012
"ak","anchorage municipality",NA,NA,NA,NA,2020,2012
"ak","bethel census area",NA,NA,NA,NA,2050,2012
"ak","bristol bay borough",NA,NA,NA,NA,2060,2012
"ak","denali borough",NA,NA,NA,NA,2068,2012
"ak","dillingham census area",NA,NA,NA,NA,2070,2012
"ak","fairbanks north star borough",NA,NA,NA,NA,2090,2012
"ak","haines borough",NA,NA,NA,NA,2100,2012
"ak","hoonah-angoon census area",NA,NA,NA,NA,2105,2012
"ak","juneau city and borough",NA,NA,NA,NA,2110,2012
"ak","kenai peninsula borough",NA,NA,NA,NA,2122,2012
"ak","ketchikan gateway borough",NA,NA,NA,NA,2130,2012
"ak","kodiak island borough",NA,NA,NA,NA,2150,2012
"ak","lake and peninsula borough",NA,NA,NA,NA,2164,2012
"ak","matanuska-susitna borough",NA,NA,NA,NA,2170,2012
"ak","nome census area",NA,NA,NA,NA,2180,2012
"ak","north slope borough",NA,NA,NA,NA,2185,2012
"ak","northwest arctic borough",NA,NA,NA,NA,2188,2012
"ak","petersburg census area",NA,NA,NA,NA,2195,2012
"ak","prince of wales-hyder census area",NA,NA,NA,NA,2198,2012
"ak","sitka city and borough",NA,NA,NA,NA,2220,2012
"ak","skagway municipality",NA,NA,NA,NA,2230,2012
"ak","southeast fairbanks census area",NA,NA,NA,NA,2240,2012
"ak","valdez-cordova census area",NA,NA,NA,NA,2261,2012
"ak","wade hampton census area",NA,NA,NA,NA,2270,2012
"ak","wrangell city and borough",NA,NA,NA,NA,2275,2012
"ak","yakutat city and borough",NA,NA,NA,NA,2282,2012
"ak","yukon-koyukuk census area",NA,NA,NA,NA,2290,2012
"ak",NA,NA,NA,NA,NA,NA,2012
"al","autauga","Other",53,0.2,100,1001,2012
"al","autauga","Barack Obama",6354,26.6,100,1001,2012
"al","autauga","Gary Johnson",136,0.6,100,1001,2012
"al","autauga","Mitt Romney",17366,72.6,100,1001,2012
"al","baldwin","Barack Obama",18329,21.6,100,1003,2012
"al","baldwin","Mitt Romney",65772,77.4,100,1003,2012
"al","baldwin","Gary Johnson",597,0.7,100,1003,2012
"al","baldwin","Other",290,0.3,100,1003,2012
"al","barbour","Barack Obama",5873,51.3,100,1005,2012
"al","barbour","Mitt Romney",5539,48.3,100,1005,2012
"al","barbour","Gary Johnson",32,0.3,100,1005,2012
"al","barbour","Other",15,0.1,100,1005,2012
"al","bibb","Gary Johnson",38,0.5,100,1007,2012
"al","bibb","Barack Obama",2200,26.2,100,1007,2012
"al","bibb","Mitt Romney",6131,73.1,100,1007,2012
"al","bibb","Other",22,0.3,100,1007,2012
"al","blount","Mitt Romney",20741,86.5,100,1009,2012
"al","blount","Barack Obama",2961,12.3,100,1009,2012
"al","blount","Gary Johnson",169,0.7,100,1009,2012
"al","blount","Other",109,0.5,100,1009,2012
"al","bullock","Other",7,0.1,100,1011,2012
"al","bullock","Barack Obama",4058,76.3,100,1011,2012
"al","bullock","Gary Johnson",3,0.1,100,1011,2012
"al","bullock","Mitt Romney",1250,23.5,100,1011,2012
"al","butler","Other",15,0.2,100,1013,2012
"al","butler","Gary Johnson",20,0.2,100,1013,2012
